a,b,c,d,e,key
0.430012029,0.014471282,-0.131932596,-0.40488479,0.232522587,G
-0.250377794,-0.039133363,0.291531793,0.220836515,-0.029613161,R
0.257954505,0.08505197,-0.121546057,-0.160064681,-0.233263424,H
0.202674503,-0.064062775,-0.337865568,-0.200977258,0.302180228,K
-0.108031435,-0.166960262,-0.148183792,0.249537762,0.097738926,V
-0.127523634,-0.245233546,0.454709157,0.284084723,0.040698794,C
-0.16782242,-0.255449716,0.337100746,0.249485153,0.021662372,I
-0.045829276,0.414561702,-0.354198086,0.191633805,-0.465116614,J
0.490519664,0.339605474,-0.162084598,0.086259681,0.113909885,L
0.049751806,-0.071322833,-0.144120058,-0.28835412,0.45935243,M
-0.205351877,-0.475458802,-0.487312139,-0.233370746,0.271778217,L
0.492957847,0.375434198,-0.452904642,0.341854073,0.362699896,R
-0.42891525,-0.466646157,-0.213612613,0.132912223,0.435883335,M
-0.022620404,0.485618815,0.031324608,-0.369144552,0.249194318,J
-0.1481751,0.11197505,0.107522879,-0.300026281,-0.283328861,W
0.108070518,0.031884,-0.037905787,0.098063526,-0.094426604,R
-0.465534285,-0.362683455,0.200017557,-0.119807881,-0.387006813,U
0.386339201,-0.040779262,0.349331689,-0.375323406,0.221894395,W
-0.380122276,-0.196655308,-0.197555855,0.213238241,0.480179143,T
-0.091333479,-0.311433624,-0.303593988,0.168107011,0.066480286,B
-0.470457866,-0.422548783,0.333449076,-0.46339306,-0.321817708,M
-0.342980613,-0.126474197,0.398640622,-0.118078325,-0.096689814,O
0.440865371,-0.293723814,0.2426005,-0.167103468,-0.174690348,T
-0.162984768,-0.057158345,-0.338600278,-0.032676449,0.284676012,C
-0.245290126,-0.117848828,0.255608325,-0.147000044,-0.225347038,A
0.171099447,0.176427912,-0.131750183,-0.023408119,0.130743596,X
-0.264198436,-0.021049985,0.170074621,0.263416538,-0.274321155,B
-0.163798526,0.233482176,0.210597233,0.167020268,-0.486102948,F
-0.044827386,-0.334016841,0.200311377,-0.20599086,0.357198666,J
-0.284550576,-0.181530182,0.059635513,0.052566901,0.403510005,T
0.126793673,-0.440433112,0.41885745,0.331845215,0.153940074,V
0.478193514,-0.299382681,0.297492312,0.35291127,-0.291316784,E
0.0614984,-0.073002614,0.188849436,-0.259029393,-0.448948328,N
0.321717436,-0.43484917,0.439648401,0.009628691,-0.081487592,Y
-0.23155563,-0.049129818,-0.023355896,0.063935727,-0.024300932,R
-0.435912413,-0.154899866,-0.340886587,0.377466866,-0.06102582,V
-0.33296917,0.364506424,-0.375819672,0.182386273,0.230286118,Q
-0.40999629,-0.273158821,-0.078945632,0.03086056,-0.170548519,K
0.250042096,0.373724087,-0.024916125,0.438360927,-0.213231733,H
-0.408661937,0.159518942,0.307409764,0.154011074,-0.049587516,D
-0.0035142,0.244167324,-0.279964431,0.087913207,0.336414879,E
0.271594474,-0.024229339,0.265583672,0.229657331,-0.469721379,I
-0.308189437,0.263647474,0.04844002,0.494097262,0.00743988,P
0.154641281,0.442378513,0.390495624,0.148310086,0.318323185,N
-0.480400176,-0.164301242,0.156596979,-0.043395615,-0.273320966,O
-0.064621334,0.395703058,0.444579883,0.056648517,0.032720923,R
0.235652529,-0.303623364,0.131322534,0.224458496,-0.40604414,T
-0.247648183,0.476673882,0.231747695,-0.358329815,-0.000492031,G
0.340288333,0.410046613,0.152084298,-0.330358378,0.199740794,D
0.345406943,-0.250519825,-0.289998656,0.358806416,0.149327596,R
-0.305089586,-0.205454102,0.061291289,0.09720132,0.167098937,W
-0.279514874,0.250735707,-0.424189839,-0.495296968,0.375410606,X
0.229867096,0.108912727,0.001046006,0.068746142,0.386329792,P
-0.319694529,0.491105046,-0.184122949,0.274371745,0.241070134,Q
0.348353582,0.495894315,-0.248890257,-0.143464558,0.090376464,L
0.374925944,-0.042746144,0.135864311,0.183980288,0.186460632,J
0.044714642,-0.057610808,0.365149257,-0.469000955,0.105926833,K
-0.147345105,0.320282611,0.311645634,0.165849063,0.187356863,J
-0.171510565,-0.015224679,-0.478924576,0.358943408,-0.257789584,D
0.143683662,-0.190220164,0.187116176,0.463081373,0.336938555,D
-0.329885258,0.23964394,-0.082403615,-0.095444333,-0.492594641,P
0.420948743,-0.348571356,-0.395722862,0.069159166,-0.100577047,G
-0.242207447,-0.394374007,0.470588634,0.375805974,0.017300972,A
-0.200267503,0.323775271,0.342472872,0.093102399,-0.081341538,K
-0.326967383,-0.420818718,-0.07940351,0.450623846,0.205076024,V
-0.343360284,-0.421810081,-0.387715935,0.20250636,0.472710307,W
0.337708275,-0.46616942,-0.150932837,0.489610819,-0.458210775,F
-0.294061493,-0.369663521,0.023903122,0.0791878,-0.240830267,M
0.181613455,-0.16582428,-0.254918956,-0.193918274,-0.295798895,E
-0.013555802,0.396903581,0.041317233,0.061462543,0.159108076,V
-0.264765039,-0.25261008,-0.129051196,0.088851396,-0.199148704,B
0.33608789,0.39074445,-0.112832315,0.272561423,0.469947335,F
0.381767363,0.490587693,0.100623765,0.076284012,-0.419930162,E
0.465491881,0.144147563,-0.477183152,0.40581433,0.010023886,T
0.184462373,-0.476765201,0.295407467,0.440858759,0.419140802,O
0.144152703,0.350954917,0.182149291,-0.24634107,0.310430988,V
0.129182144,0.234628047,0.000818417,0.096373488,-0.347893955,C
-0.147214789,-0.139892394,0.132809947,0.39980779,-0.18609344,U
0.373373412,-0.424383242,0.007079857,-0.196558507,-0.472617769,C
-0.496378771,0.138995311,-0.057064243,0.254126327,0.117118268,V
0.009017109,-0.472413945,-0.222685228,-0.303782798,-0.120835345,W
0.132014718,-0.092234015,0.117274902,-0.147902544,0.046031284,A
0.194910054,0.051200345,0.377738653,-0.115062213,-0.217237694,L
0.052972164,0.062223473,-0.128383318,0.434067385,-0.345097058,T
0.362883129,-0.229248524,-0.324999743,-0.027051085,-0.029594561,D
-0.360035274,0.098322884,-0.162003726,-0.2591307,-0.235808104,A
0.496212379,-0.311384619,0.020926911,0.021231499,-0.063305923,L
-0.280029837,-0.305090694,-0.029997338,-0.386512329,-0.244028036,T
-0.291141792,0.272947527,-0.019036682,-0.197115745,0.258936138,C
0.087478273,0.321770331,0.436324304,-0.026283192,0.014542893,I
-0.356611406,0.370246876,-0.058151528,-0.264554356,-0.372281477,D
0.294464237,-0.004799962,-0.45154202,-0.006822059,0.37860692,K
-0.156800356,0.073337935,0.015502438,-0.02267521,0.468366887,V
0.312174446,-0.016325664,-0.21714956,0.335495178,-0.124927712,M
0.38006809,0.030681729,6.48E-05,0.259414791,0.416128575,A
0.297323779,-0.385883058,-0.121638798,-0.107338814,-0.144886832,D
-0.001120276,-0.377062142,0.373744214,0.021868721,0.038648567,J
0.42249031,-0.143952611,0.386647072,0.012743216,-0.05423881,W
0.250973823,-0.346373266,0.4576332,-0.038220581,-0.298933265,U
-0.036389271,-0.441555196,0.334051688,0.376626048,-0.190908443,E
0.003220115,-0.246121031,-0.147362072,0.485784326,0.076143002,X
-0.368083727,0.037701337,-0.271199066,0.239070546,0.310682405,A
0.145584978,0.289361569,0.01540997,-0.192203281,0.148264377,M
0.221784904,0.104152341,0.010123938,0.230081316,0.306580735,D
0.465134109,-0.163914279,0.059118869,-0.235112935,0.264467455,W
-0.215395413,0.023984715,0.444804104,-0.337834128,-0.138588269,D
-0.359927165,0.06615921,0.435809913,0.360261668,0.438680552,B
-0.01911781,-0.027707538,0.330167326,-0.231450752,0.193770639,U
0.288648588,-0.312620236,-0.270010181,-0.060114213,-0.372662113,D
-0.041844794,-0.405108431,-0.291722571,0.060566371,-0.40390244,D
-0.344137974,-0.214314088,-0.453803874,-0.315804713,0.328544539,W
0.36893886,-0.446386273,-0.222113834,0.306356374,-0.036914389,X
-0.145322481,0.362843968,-0.40858331,-0.015200696,-0.054978993,J
0.057980704,0.452683827,0.317151673,-0.10532163,0.487180964,V
-0.103360779,0.310997227,0.378583689,0.109291327,-0.417391761,Y
-0.33417798,-0.245544001,-0.480558413,-0.29180305,0.199917893,C
-0.410517147,-0.255861482,-0.322156456,0.467149211,0.411959607,Q
-0.030087669,0.472903829,0.198989096,0.275195558,-0.22845509,Z
0.10381525,0.001595164,-0.041976318,-0.479455369,0.282519189,A
-0.19640261,-0.413332608,0.416271268,-0.322568626,-0.370441955,M
-0.164600395,-0.302391424,-0.239673642,-0.286787315,0.258265762,Q
-0.00996865,-0.165811774,0.357905242,-0.152581694,0.459219432,S
-0.189954404,0.049208195,-0.375802519,-0.340155905,0.130506664,R
0.226612385,-0.357731863,0.29511753,0.488904994,-0.430081698,X
-0.136152256,0.397425792,-0.366860296,-0.231738467,-0.139686695,D
-0.322909228,0.189646921,-0.382131203,0.302478921,0.087851515,W
0.046336233,-0.165125798,0.496924635,-0.399128649,0.002632728,Y
-0.260334286,0.044914025,-0.123672251,-0.340443796,0.323758436,J
0.137745597,0.426742753,0.062600343,-0.442934732,0.14702419,F
0.493171005,0.211482284,0.198997869,-0.147030974,-0.266985695,B
-0.021636799,0.113114946,0.04164232,0.285852556,-0.226242098,J
-0.218208973,0.457021151,-0.397573957,0.422634675,0.27941862,G
0.205879466,0.103935692,-0.198259457,-0.137064243,-0.287434616,R
0.149090913,0.451979906,0.430800209,-0.241008324,-0.440899454,F
-0.394017566,-0.157204855,-0.205748811,0.045844223,0.134823045,H
-0.061062839,0.227261656,0.344362649,-0.016581234,0.44797722,P
-0.138007082,-0.095387329,0.190189017,0.169936839,0.275670513,N
-0.173810551,-0.276604266,-0.284120886,0.251975703,0.461933121,M
0.120758119,0.349252495,0.248284952,0.069090134,0.449654013,Q
0.164641959,-0.051352919,-0.149370153,0.360254527,-0.462097867,N
0.125933315,0.259635721,0.17503122,0.34384417,0.260854856,Z
-0.029785142,-0.323674773,0.124540938,0.028084482,-0.499662544,X
0.351039501,0.428563533,-0.166380323,0.162337139,0.185187082,N
-0.19161233,-0.171563204,0.13975591,-0.31649202,0.393597077,Y
0.09938535,-0.349697289,-0.44988882,0.114752683,-0.470146829,S
-0.118884113,0.367195921,0.09525631,-0.286794416,-0.130541267,F
0.250751437,0.006360162,0.05466136,0.25107566,-0.243943349,L
-0.232170263,-0.179720869,0.403718723,0.042768012,-0.434591737,G
0.220675802,0.457700808,0.309104536,0.393732336,-0.20810297,B
0.458841867,-0.229312208,0.337075497,0.494845638,-0.239721012,X
-0.458396815,0.066657661,-0.195812283,-0.069849426,-0.26756671,Q
0.2362642,-0.413531921,0.289213346,0.455120385,-0.010833874,W
0.342090106,0.273437287,0.291978577,-0.240229154,0.494729824,P
0.336951011,0.158075843,-0.180829269,-0.375991479,-0.318586218,B
0.147927635,0.438106964,-0.334783899,0.418513361,-0.278821487,X
-0.404796907,0.4032069,0.199998974,-0.090290558,-0.231932193,B
0.094162529,0.341885302,0.161022122,0.096525965,-0.475904509,C
0.274873617,0.296251756,-0.121609553,-0.076597483,0.497715417,K
-0.322839737,-0.381192742,-0.307792196,-0.444985556,0.401772061,N
0.465722779,0.381931,-0.24751882,0.320676611,0.38461949,I
-0.026667379,0.301142302,0.190696477,0.071935028,0.012754126,D
-0.399177802,0.066568216,0.291155054,-0.038044422,0.294571585,B
0.490165478,0.230499846,-0.359233126,-0.093458775,0.265240655,K
0.327556372,0.401323188,0.404515234,-0.229864664,-0.480233494,H
-0.318332885,0.015037922,0.26203736,-0.133538497,0.057420727,H
-0.366555397,0.156808686,0.44032181,-0.080884809,0.15538787,R
0.171435266,0.244657311,-0.400913028,-0.346039633,-0.082958577,W
-0.393935594,-0.27591589,0.09198164,-0.404432596,-0.015919377,O
-0.023576299,-0.094905596,-0.073893434,-0.136809772,-0.498562244,M
0.294742726,-0.389401728,0.275231758,-0.396937655,-0.018544087,R
-0.343044769,-0.011555212,0.295974093,-0.313781662,-0.484010358,T
0.121071247,-0.291852704,-0.276336385,0.411887548,-0.377183692,J
0.49527454,0.075877171,0.349985851,0.158870315,0.006047237,W
-0.359189795,0.348423699,0.300810039,0.205464047,-0.122475931,F
-0.187334633,-0.297766926,-0.205268009,0.443028374,-0.308494864,P
0.228296403,-0.324182693,-0.478335539,-0.322928615,0.184897366,N
-0.2979646,-0.258068544,0.040525386,-0.355679239,0.369952682,D
-0.418242934,0.317359539,-0.282310991,-0.174369739,-0.023313698,F
-0.069818126,0.480207136,-0.158444083,0.083289135,-0.128119359,J
-0.109176927,0.20782391,-0.15892459,0.358706866,0.455483075,S
-0.011303469,-0.013083882,-0.421349965,-0.375874851,0.294541763,P
0.155194391,0.240278935,-0.039210168,0.460790768,0.385090459,S
0.351594521,-0.402909383,-0.19399711,0.148487248,0.447276417,I
-0.326028727,-0.076231101,-0.461265403,-0.084041654,0.338471879,C
-0.380346282,-0.124766725,-0.059635012,-0.300703217,0.408503823,C
0.375990135,0.483564458,0.113720796,0.459844358,-0.353445454,Y
0.263425688,-0.414714185,0.298260819,0.004550008,0.064891537,I
0.154522531,0.005584723,0.269488021,0.158619652,0.47127446,K
-0.107696908,-0.221896376,0.026214598,0.000660336,0.254866308,S
0.157077574,0.386695741,-0.224590046,-0.007825151,0.318217481,V
0.160868261,-0.402855919,-0.254992956,0.233057981,0.420497522,V
0.131499126,0.065431112,0.16870523,0.215082337,0.428262885,N
-0.122339839,-0.288451942,-0.46287854,-0.2474803,0.291656288,U
-0.470122952,0.103041859,-0.49875022,-0.336547171,0.128996415,S
-0.331359004,0.284924452,-0.422963681,0.206972662,-0.387505028,Y
0.220687958,-0.194528516,0.117548371,-0.202031708,-0.401288235,S
-0.288542792,0.214439162,-0.459825121,-0.45560917,0.155913489,D
-0.3348834,0.323971467,0.426103326,-0.046376151,0.405792303,Y
0.30640409,0.42646577,0.073266619,0.340997152,-0.304884868,P
0.359593343,-0.378761909,-0.267465879,0.218412,0.179785086,Z
0.065996743,0.348705423,-0.331036523,0.421509356,0.274410863,O
-0.123689664,0.185850542,0.291406488,0.366902217,0.251106384,V
0.14941951,0.439994212,0.019524426,0.065486122,0.412544201,N
0.337588743,-0.362189992,0.02134485,-0.420743991,-0.244521195,G
-0.075246034,-0.294541646,0.15475422,0.371793885,0.091825415,W
-0.30637508,0.355175068,0.046464929,0.352903507,0.371213289,Z
0.154990964,0.448952786,0.142227139,-0.134498399,-0.424396184,B
-0.334399513,-0.384390747,0.47477173,0.385197276,-0.022492592,D
-0.31051206,0.309390652,-0.417019225,-0.002276462,-0.183038954,X
-0.487889866,-0.139154723,-0.163370942,-0.265291998,0.312027532,T
-0.338554463,0.394265546,0.009084845,0.407121163,0.477463345,S
0.253155247,-0.101970226,0.001829374,0.255855871,-0.278432466,B
-0.123207286,0.049400529,-0.332568333,0.484815369,0.053787835,E
-0.012610078,0.124886356,0.391400939,-0.258880032,0.267409214,D
-0.476567642,0.140736186,0.289365185,0.055876426,0.051556989,U
-0.444981476,0.236902268,0.246172475,0.182509695,-0.164971133,L
0.491682799,-0.12992104,0.097577337,-0.436814123,-0.020079895,N
0.255066783,0.338774069,0.262489946,0.399508367,-0.422400346,E
-0.040871226,0.161740581,-0.152516821,0.294908132,0.302944719,A
0.224371888,0.138748507,-0.340115496,-0.02887114,0.180581256,Y
0.232340652,0.066576231,-0.270178513,-0.402641259,-0.480778375,G
-0.078587659,0.42244411,-0.383050169,0.184970196,0.192493939,D
0.266201603,0.328266669,0.194143144,0.393385846,-0.0013006,P
-0.403495378,0.349943898,-0.484406148,0.046850712,-0.329254884,Q
0.342704522,0.179212426,-0.215120844,0.187003691,-0.122182584,F
0.422297724,0.103928698,0.305290367,-0.487734768,0.158101793,Y
0.395666299,0.140332486,-0.484687088,-0.18147778,0.28985026,K
-0.440512979,0.037075034,-0.017026616,0.443298665,0.251039234,I
-0.333049406,0.342361244,-0.497774002,0.292521694,-0.469263732,V
0.238766422,0.278880983,0.269885202,0.104842356,-0.363403404,A
0.139799693,-0.415588225,-0.196367894,0.038797737,0.218379619,V
0.03848265,0.310186585,-0.492480034,-0.086979633,0.402677853,X
-0.135709376,-0.435142096,-0.141670371,0.134203184,0.249516784,Z
-0.219245366,-0.16472635,-0.19368182,0.443353571,0.16540588,R
-0.034483573,-0.309866226,-0.413748009,-0.05316893,0.385437138,O
0.326997203,-0.360039388,0.327730446,-0.478841877,0.27196876,F
-0.265532122,-0.202855926,-0.44414947,-0.469153923,-0.21893914,P
0.195793151,-0.273183334,0.226857133,0.136169879,-0.366173177,X
0.363563334,-0.359140519,0.478652067,0.324945879,-0.078874493,S
0.221266206,-0.217576797,0.156519156,0.254002328,0.259443558,M
-0.433542319,-0.020839742,0.084018717,0.240684202,-0.342300435,W
-0.40457588,-0.399429406,0.095518345,0.451214338,-0.448804462,P
0.290995623,-0.140869036,-0.392558052,-0.293781057,0.054790643,V
0.330009081,0.053866241,-0.264040397,0.411337305,0.465371598,W
-0.289249482,-0.368791978,-0.170117099,-0.107257248,0.132837262,O
0.148114795,0.077929205,-0.345777847,0.266722237,0.33332806,V
0.470947302,0.497081415,-0.281262967,0.209732935,0.063502061,R
0.098927544,-0.207406645,-0.184908881,-0.46654361,0.179816728,K
-0.306841037,0.001550654,-0.016810509,-0.088827669,-0.245967447,B
0.313929579,-0.141296921,-0.311549628,-0.426890186,0.314517123,H
0.438931676,-0.151545469,-0.234285264,0.016833204,0.340063829,Q
0.194754793,0.219793384,0.274575061,-0.196986576,0.033633984,S
-0.140033112,0.018361093,-0.279886149,0.248909191,0.024440248,S
-0.084885554,-0.177443276,0.353848938,-0.025346362,0.199262678,D
0.160665313,0.297931997,-0.436287457,0.250869801,-0.170112748,M
0.402987316,0.194027992,0.212746117,-0.400701208,0.082426394,E
-0.373547485,-0.434826289,-0.428891757,-0.216350433,0.211425136,I
0.449323824,-0.30123149,0.192773671,0.132388545,-0.003253503,X
0.487619687,0.267875917,-0.391898367,0.361270324,-0.072305462,L
0.202490148,0.356896405,0.067246252,-0.483856185,-0.026763513,M
0.228790339,-0.042822491,0.342040286,-0.025560001,0.348670777,U
0.281232695,-0.468621213,-0.347604739,0.301897494,-0.313213551,L
-0.403627066,0.174971769,-0.005027682,0.334622392,0.489916152,Q
0.202358794,0.105446053,0.264938044,-0.040092756,-0.489588115,L
0.449501332,-0.172534232,0.119857766,0.148333379,-0.469834513,N
0.161686287,0.295835789,0.400657962,0.264034444,0.242870645,S
0.029340831,-0.376115188,-0.211006016,-0.222456826,-0.241303447,E
0.358195169,-0.470988981,0.298796732,0.248535489,0.283231145,N
0.358083322,-0.167558291,0.348191387,0.070583688,0.427061769,C
-0.443900665,-0.492695922,0.287033825,0.24841931,0.040047081,G
0.373868079,0.300578607,-0.445839729,-0.210049428,0.171752176,C
-0.232718314,-0.043537061,0.202780442,0.288135575,0.443886629,N
-0.125696994,0.481475511,-0.472939698,0.299779979,0.316728227,S
0.001127086,-0.215605243,0.105320896,0.32445852,0.03354518,U
0.207420528,-0.144585785,0.205831248,-0.052914358,-0.052601484,O
-0.263525907,0.023786269,0.33619819,-0.133553889,-0.495451514,U
-0.051951844,-0.437669404,-0.195678604,0.009466402,-0.347193936,O
-0.290234523,0.356275794,0.002726965,-0.343200585,-0.185747306,C
-0.065415007,0.259641063,0.322053576,0.485219638,0.491793443,D
-0.009702734,-0.372399431,-0.379198418,-0.450216954,-0.405257535,C
0.000673784,0.108600208,0.230616613,0.494018417,0.329619878,Q
-0.030403337,-0.411464862,-0.03915101,-0.377434436,0.135658772,P
0.271820567,0.06705117,-0.451024625,-0.210395766,0.051043222,R
-0.066305289,0.407189464,-0.347323268,0.327352481,0.31745099,M
0.476117504,0.287067455,-0.019571257,0.499201061,0.242725908,P
0.090394478,-0.14871917,0.332100589,-0.275098713,-0.392874165,L
0.251393621,0.002399496,0.310025542,0.280856443,-0.394577171,C
0.059098072,0.209453737,0.387329361,-0.172612298,0.443628132,S
-0.340112203,0.393037513,0.005076482,-0.093963688,0.141765379,O
-0.02575414,-0.493147253,0.37723732,-0.023570463,-0.441896452,M
-0.39259884,0.216261319,0.0823873,-0.229335115,-0.395642865,A
0.403525066,-0.301123729,-0.481065765,0.468324864,0.011954264,C
-0.220367789,-0.404357901,0.178502064,0.018371168,-0.120686699,E
-0.128415585,0.483443174,0.053098039,0.011733804,-0.354941958,U
-0.383490433,0.047585678,-0.143427595,0.311501276,0.054213167,P
0.022032391,-0.188601189,0.232220316,-0.333323032,0.080361649,R
0.005985117,-0.162376749,-0.32239862,0.480730462,0.147160727,J
-0.470682151,-0.410296809,0.454332063,-0.055259287,0.224756734,I
0.385115316,-0.283511879,-0.019567268,0.054762829,-0.407525193,E
0.494750159,0.172736962,-0.257526651,0.136500754,0.151973084,X
0.065483108,0.317997213,0.180906742,-0.254182281,-0.461901608,L
0.193619517,0.288365808,-0.313670318,0.037783353,-0.175495757,D
0.164714776,0.00820235,0.465356777,0.172310146,0.296900081,X
0.118575554,-0.467840911,-0.01217905,-0.405773103,-0.07075882,A
0.498653557,-0.060198937,-0.366353003,0.024141549,-0.0308786,X
0.402392125,0.484529962,-0.475345593,0.132690888,-0.284717194,O
-0.097704903,-0.012998413,0.312621586,-0.276862622,0.379038662,F
0.347424889,-0.302698625,0.396148487,0.099849835,0.050354204,I
0.082588649,0.255336616,-0.336313663,-0.48531195,0.48885999,O
-0.281780691,-0.352000119,-0.454140335,-0.183874317,-0.405754303,K
0.363583391,0.296485996,-0.475062889,0.08714046,-0.266872218,O
0.063273631,0.47922077,0.21722193,-0.393933837,0.285601309,C
0.096606355,0.420665957,-0.17869036,0.05763362,0.188416797,B
0.389872589,-0.380483238,-0.316682759,-0.210747578,-0.308760973,B
-0.201938604,-0.031106268,-0.38309629,0.187121925,-0.010116066,W
-0.324454092,0.004390645,0.231167998,0.266749542,-0.356127905,L
0.184594565,-0.32591836,0.479739556,-0.443304565,-0.400854006,M
-0.365273249,0.060809298,-0.249885185,-0.01898058,0.086824233,W
-0.104863105,-0.049793377,0.140736671,0.195521901,-0.385580752,M
-0.416581025,0.011023963,0.076120429,-0.490182149,-0.343081805,M
-0.04064379,0.432928495,0.491286104,0.058404975,0.086720649,B
-0.029809386,0.127965791,-0.388225955,-0.201744209,-0.216565249,W
-0.459895094,0.377540755,-0.192191967,0.403934128,-0.069173004,E
-0.03611175,-0.030584939,0.499493244,0.467195828,-0.373570766,Q
-0.038649215,-0.442906061,-0.384155987,-0.025978807,0.351009963,R
0.159306963,-0.229531197,0.208358994,-0.009354887,-0.056677736,O
0.180668767,0.054367262,-0.428884982,0.406885363,0.051039476,V
-0.263137624,-0.308659898,-0.22602132,-0.161881925,0.149113015,R
0.420469743,-0.239255239,0.435279438,0.155302486,0.022964154,C
0.222364858,0.248741083,-0.135425113,-0.168185152,0.022621456,O
0.466365028,0.226746605,-0.28393103,-0.392359806,-0.035753804,G
0.23834279,-0.212285842,0.341989208,0.25144867,-0.05752693,R
0.007986011,-0.242193494,0.218833166,-0.037636876,0.036949982,B
-0.077502765,0.094184799,0.138156725,0.068217943,-0.381105626,L
0.213419592,-0.115173517,0.449320382,0.122730149,0.385590687,C
0.196810373,-0.251410784,-0.078211066,0.17348793,-0.23895273,C
-0.082061202,0.202842075,0.333010526,-0.048485392,0.493605219,B
0.431684247,0.071900545,-0.069519696,-0.329864961,0.157473939,B
0.436830439,-0.406705357,-0.442690233,0.128900556,-0.252965715,F
0.162998959,0.375576237,-0.102976537,-0.22040975,-0.019054934,W
-0.441517435,-0.497283428,-0.385274329,0.099150744,0.140422873,M
-0.380414381,0.346081479,-0.46567089,-0.142599352,-0.373251866,N
-0.212417361,-0.337305717,0.433880948,0.275474808,-0.266840395,W
0.367049707,0.103348711,-0.282330657,0.242137611,-0.023723274,A
-0.03617146,0.11089361,-0.033459929,-0.361105167,0.282966862,T
-0.447746512,0.146693347,-0.214024689,-0.435509173,0.486577801,Y
-0.221178739,-0.103922419,-0.18943954,-0.471630613,0.066367681,J
0.025725994,0.041246929,0.368519503,0.394467514,0.27405358,X
-0.18689299,-0.061823107,0.455324073,0.001185496,-0.180714311,T
-0.005476634,-0.416939577,0.476353013,0.328856093,0.180671488,G
0.498582416,0.225417283,0.383526473,0.115739688,0.031807594,H
0.072721511,-0.086220616,-0.36873844,0.391996986,0.397988358,G
0.203615369,-0.220994838,0.193078215,0.179070934,-0.053775238,I
0.111331109,-0.21901164,-0.330973929,0.206268337,-0.019843268,X
-0.05538634,-0.343185898,-0.482631862,0.49487895,-0.19797032,S
0.493349364,0.291776191,-0.296741524,0.262490108,-0.272776191,H
0.062626076,0.30722717,-0.037612556,-0.127310231,-0.128774566,K
0.036382086,0.117422331,0.211555985,0.309973172,0.31835194,C
0.338872547,-0.488042466,-0.446219778,0.478593858,-0.427946882,M
0.19919223,-0.309707572,0.361254886,0.359484862,0.231792397,X
